subject,module,code,name,link
AFM,Accounting and Financial Management (AFM),AFM100,Introduction to Experiential Learning,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/SJuWq4QYh?bc=true&bcCurrent=AFM100%20-%20Introduction%20to%20Experiential%20Learning&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM101,Introduction to Financial Accounting,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/HJ5IYNmYn?bc=true&bcCurrent=AFM101%20-%20Introduction%20to%20Financial%20Accounting&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM102,Introduction to Managerial Accounting,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/SkyDY47F2?bc=true&bcCurrent=AFM102%20-%20Introduction%20to%20Managerial%20Accounting&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM111,Professional Pathways and Problem-Solving,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/Hklqb547Fn?bc=true&bcCurrent=AFM111%20-%20Professional%20Pathways%20and%20Problem-Solving&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM112,Analytic Methods for Business 1,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/Hye9-qN7Kn?bc=true&bcCurrent=AFM112%20-%20Analytic%20Methods%20for%20Business%201&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM113,Analytic Methods for Business 2,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/HkGAWcEmFh?bc=true&bcCurrent=AFM113%20-%20Analytic%20Methods%20for%20Business%202&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM121,Introduction to Global Financial Markets,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/SJlcYNXt2?bc=true&bcCurrent=AFM121%20-%20Introduction%20to%20Global%20Financial%20Markets&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM123,Accounting Information for Managers,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/ryA_h47Y2?bc=true&bcCurrent=AFM123%20-%20Accounting%20Information%20for%20Managers&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM127,Introduction to Global Capital Markets and Financial Analytics,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/B1nDpNQKh?bc=true&bcCurrent=AFM127%20-%20Introduction%20to%20Global%20Capital%20Markets%20and%20Financial%20Analytics&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM131,Introduction to Business in North America,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/SJkt24QY3?bc=true&bcCurrent=AFM131%20-%20Introduction%20to%20Business%20in%20North%20America&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM132,Introduction to Business Stages,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/HJxn-94QYh?bc=true&bcCurrent=AFM132%20-%20Introduction%20to%20Business%20Stages&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM182,Introduction to Financial Reporting and Managerial Decision Making 2,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/H1Fzc4mtn?bc=true&bcCurrent=AFM182%20-%20Introduction%20to%20Financial%20Reporting%20and%20Managerial%20Decision%20Making%202&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM191,Introduction to Financial Reporting and Managerial Decision Making 1,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/Bytfq4Xtn?bc=true&bcCurrent=AFM191%20-%20Introduction%20to%20Financial%20Reporting%20and%20Managerial%20Decision%20Making%201&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM200,Continuation of Experiential Learning,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/rJeYW9NQY2?bc=true&bcCurrent=AFM200%20-%20Continuation%20of%20Experiential%20Learning&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM205,Introduction to Financial Services,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/Syxob9N7t2?bc=true&bcCurrent=AFM205%20-%20Introduction%20to%20Financial%20Services&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM206,Introduction to Tax,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/SJgcW9NXFh?bc=true&bcCurrent=AFM206%20-%20Introduction%20to%20Tax&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM207,Introduction to Performance Analytics,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/S15W9VQF3?bc=true&bcCurrent=AFM207%20-%20Introduction%20to%20Performance%20Analytics&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM208,Introduction to Assurance,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/Sye9-cN7t3?bc=true&bcCurrent=AFM208%20-%20Introduction%20to%20Assurance&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM212,Financial Analysis and Planning,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/Hkn-cV7F2?bc=true&bcCurrent=AFM212%20-%20Financial%20Analysis%20and%20Planning&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM231,Business Law,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/BkJK3NQKn?bc=true&bcCurrent=AFM231%20-%20Business%20Law&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM241,Impact of Technology on Business,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/BkfnBFVXth?bc=true&bcCurrent=AFM241%20-%20Impact%20of%20Technology%20on%20Business&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM244,Analytic Methods for Business 3,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/B15WcVQt2?bc=true&bcCurrent=AFM244%20-%20Analytic%20Methods%20for%20Business%203&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM272,Global Capital Markets and Financial Analytics,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/ryeMypVXY3?bc=true&bcCurrent=AFM272%20-%20Global%20Capital%20Markets%20and%20Financial%20Analytics&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM273,Financial Instruments and Capital Markets,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/rJ1aOEXK2?bc=true&bcCurrent=AFM273%20-%20Financial%20Instruments%20and%20Capital%20Markets&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM274,Introduction to Corporate Finance,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/SyWx6_EmFh?bc=true&bcCurrent=AFM274%20-%20Introduction%20to%20Corporate%20Finance&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM275,Corporate Finance,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/HyGy6NQKh?bc=true&bcCurrent=AFM275%20-%20Corporate%20Finance&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM276,Financial Statement Analysis,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/B1kwFNXtn?bc=true&bcCurrent=AFM276%20-%20Financial%20Statement%20Analysis&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM280,Introduction to Organizational Behaviour,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/SJ-g5KEQY2?bc=true&bcCurrent=AFM280%20-%20Introduction%20to%20Organizational%20Behaviour&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM285,Introduction to Sustainability and Sustainable Business,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/rkJIxulaC?bc=true&bcCurrent=AFM285%20-%20Introduction%20to%20Sustainability%20and%20Sustainable%20Business&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM291,Intermediate Financial Accounting 1,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/H116_EXF2?bc=true&bcCurrent=AFM291%20-%20Intermediate%20Financial%20Accounting%201&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM311,Connections to Ethical Context,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/Bkgx5K4mFn?bc=true&bcCurrent=AFM311%20-%20Connections%20to%20Ethical%20Context&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM321,Personal Financial Planning and Taxation,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/B1WlcFEQY2?bc=true&bcCurrent=AFM321%20-%20Personal%20Financial%20Planning%20and%20Taxation&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM322,Derivative Securities,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/BkX1PFVQKn?bc=true&bcCurrent=AFM322%20-%20Derivative%20Securities&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM323,Quantitative Foundations for Finance,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/rkVzTNQF2?bc=true&bcCurrent=AFM323%20-%20Quantitative%20Foundations%20for%20Finance&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM324,Wealth Management,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/BkkfcVXF3?bc=true&bcCurrent=AFM324%20-%20Wealth%20Management&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM326,Student Venture Fund - Analyst,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/r1l0-54QFn?bc=true&bcCurrent=AFM326%20-%20Student%20Venture%20Fund%20-%20Analyst&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM328,Investment Management - Junior Analyst,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/BkbSiYVXK3?bc=true&bcCurrent=AFM328%20-%20Investment%20Management%20-%20Junior%20Analyst&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM329,Investment Management - Senior Analyst,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/r1-EsK4mK2?bc=true&bcCurrent=AFM329%20-%20Investment%20Management%20-%20Senior%20Analyst&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM333,International Business,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/HJYla4QYn?bc=true&bcCurrent=AFM333%20-%20International%20Business&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM334,International Study Experience,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/ByCbq4mK2?bc=true&bcCurrent=AFM334%20-%20International%20Study%20Experience&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM335,Business Law for Financial Managers,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/r1xjfqVXth?bc=true&bcCurrent=AFM335%20-%20Business%20Law%20for%20Financial%20Managers&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM341,Accounting Information Systems,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/Byy6uNQYn?bc=true&bcCurrent=AFM341%20-%20Accounting%20Information%20Systems&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM345,Business Applications of Social Media Analytics,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/HkeuM5V7t3?bc=true&bcCurrent=AFM345%20-%20Business%20Applications%20of%20Social%20Media%20Analytics&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM346,Applications of Predictive Analytics in Accounting and Finance,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/H1uf5N7Kh?bc=true&bcCurrent=AFM346%20-%20Applications%20of%20Predictive%20Analytics%20in%20Accounting%20and%20Finance&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM347,Cybersecurity,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/BJW_G9EXY3?bc=true&bcCurrent=AFM347%20-%20Cybersecurity&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM362,Corporate Taxation,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/r1ZqtE7t3?bc=true&bcCurrent=AFM362%20-%20Corporate%20Taxation&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM373,Cases and Applications in Corporate Finance,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/HJq8FNmYn?bc=true&bcCurrent=AFM373%20-%20Cases%20and%20Applications%20in%20Corporate%20Finance&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM377,Private Equity and Venture Capital,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/SJ_Z5NXKh?bc=true&bcCurrent=AFM377%20-%20Private%20Equity%20and%20Venture%20Capital&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
AFM,Accounting and Financial Management (AFM),AFM382,Cost Management Systems,https://uwaterloo.ca/academic-calendar/undergraduate-studies/catalog#/courses/H11pdEQY2?bc=true&bcCurrent=AFM382%20-%20Cost%20Management%20Systems&bcGroup=Accounting%20and%20Financial%20Management%20(AFM)&bcItemType=courses
